source hex,source int,source,source len,source bytes,destination hex,destination int,destination,destination len,destination bytes,diff,diff bytes
0182,386,Ƃ,2,198 130,0183,387,ƃ,2,198 131,1,0 1
0184,388,Ƅ,2,198 132,0185,389,ƅ,2,198 133,1,0 1
0186,390,Ɔ,2,198 134,0254,596,ɔ,2,201 148,206,15 18
0187,391,Ƈ,2,198 135,0188,392,ƈ,2,198 136,1,0 15
0189,393,Ɖ,2,198 137,0256,598,ɖ,2,201 150,205,15 31
018A,394,Ɗ,2,198 138,0257,599,ɗ,2,201 151,205,15 29
018B,395,Ƌ,2,198 139,018C,396,ƌ,2,198 140,1,0 7
018E,398,Ǝ,2,198 142,01DD,477,ǝ,2,199 157,79,1 19
018F,399,Ə,2,198 143,0259,601,ə,2,201 153,202,15 22
0190,400,Ɛ,2,198 144,025B,603,ɛ,2,201 155,203,15 11
0191,401,Ƒ,2,198 145,0192,402,ƒ,2,198 146,1,0 3
0193,403,Ɠ,2,198 147,0260,608,ɠ,2,201 160,205,15 51
0194,404,Ɣ,2,198 148,0263,611,ɣ,2,201 163,207,15 55
0196,406,Ɩ,2,198 150,0269,617,ɩ,2,201 169,211,15 63
0197,407,Ɨ,2,198 151,0268,616,ɨ,2,201 168,209,15 63
0198,408,Ƙ,2,198 152,0199,409,ƙ,2,198 153,1,0 1
019C,412,Ɯ,2,198 156,026F,623,ɯ,2,201 175,211,15 51
019D,413,Ɲ,2,198 157,0272,626,ɲ,2,201 178,213,15 47
019F,415,Ɵ,2,198 159,0275,629,ɵ,2,201 181,214,15 42
01A0,416,Ơ,2,198 160,01A1,417,ơ,2,198 161,1,0 1
01A2,418,Ƣ,2,198 162,01A3,419,ƣ,2,198 163,1,0 1
01A4,420,Ƥ,2,198 164,01A5,421,ƥ,2,198 165,1,0 1
01A6,422,Ʀ,2,198 166,0280,640,ʀ,2,202 128,218,12 38
01A7,423,Ƨ,2,198 167,01A8,424,ƨ,2,198 168,1,0 15
01A9,425,Ʃ,2,198 169,0283,643,ʃ,2,202 131,218,12 42
01AC,428,Ƭ,2,198 172,01AD,429,ƭ,2,198 173,1,0 1
01AE,430,Ʈ,2,198 174,0288,648,ʈ,2,202 136,218,12 38
01AF,431,Ư,2,198 175,01B0,432,ư,2,198 176,1,0 31
01B1,433,Ʊ,2,198 177,028A,650,ʊ,2,202 138,217,12 59
01B2,434,Ʋ,2,198 178,028B,651,ʋ,2,202 139,217,12 57
01B3,435,Ƴ,2,198 179,01B4,436,ƴ,2,198 180,1,0 7
01B5,437,Ƶ,2,198 181,01B6,438,ƶ,2,198 182,1,0 3
01B7,439,Ʒ,2,198 183,0292,658,ʒ,2,202 146,219,12 37
01B8,440,Ƹ,2,198 184,01B9,441,ƹ,2,198 185,1,0 1
01BC,444,Ƽ,2,198 188,01BD,445,ƽ,2,198 189,1,0 1
01C4,452,Ǆ,2,199 132,01C6,454,ǆ,2,199 134,2,0 2
01C5,453,ǅ,2,199 133,01C6,454,ǆ,2,199 134,1,0 3
01C7,455,Ǉ,2,199 135,01C9,457,ǉ,2,199 137,2,0 14
01C8,456,ǈ,2,199 136,01C9,457,ǉ,2,199 137,1,0 1
01CA,458,Ǌ,2,199 138,01CC,460,ǌ,2,199 140,2,0 6
01CB,459,ǋ,2,199 139,01CC,460,ǌ,2,199 140,1,0 7
01CD,461,Ǎ,2,199 141,01CE,462,ǎ,2,199 142,1,0 3
01CF,463,Ǐ,2,199 143,01D0,464,ǐ,2,199 144,1,0 31
01D1,465,Ǒ,2,199 145,01D2,466,ǒ,2,199 146,1,0 3
01D3,467,Ǔ,2,199 147,01D4,468,ǔ,2,199 148,1,0 7
01D5,469,Ǖ,2,199 149,01D6,470,ǖ,2,199 150,1,0 3
01D7,471,Ǘ,2,199 151,01D8,472,ǘ,2,199 152,1,0 15
01D9,473,Ǚ,2,199 153,01DA,474,ǚ,2,199 154,1,0 3
01DB,475,Ǜ,2,199 155,01DC,476,ǜ,2,199 156,1,0 7
01DE,478,Ǟ,2,199 158,01DF,479,ǟ,2,199 159,1,0 1
01E0,480,Ǡ,2,199 160,01E1,481,ǡ,2,199 161,1,0 1
01E2,482,Ǣ,2,199 162,01E3,483,ǣ,2,199 163,1,0 1
01E4,484,Ǥ,2,199 164,01E5,485,ǥ,2,199 165,1,0 1
01E6,486,Ǧ,2,199 166,01E7,487,ǧ,2,199 167,1,0 1
01E8,488,Ǩ,2,199 168,01E9,489,ǩ,2,199 169,1,0 1
01EA,490,Ǫ,2,199 170,01EB,491,ǫ,2,199 171,1,0 1
01EC,492,Ǭ,2,199 172,01ED,493,ǭ,2,199 173,1,0 1
01EE,494,Ǯ,2,199 174,01EF,495,ǯ,2,199 175,1,0 1
01F1,497,Ǳ,2,199 177,01F3,499,ǳ,2,199 179,2,0 2
01F2,498,ǲ,2,199 178,01F3,499,ǳ,2,199 179,1,0 1
01F4,500,Ǵ,2,199 180,01F5,501,ǵ,2,199 181,1,0 1
01F6,502,Ƕ,2,199 182,0195,405,ƕ,2,198 149,-97,1 35
01F7,503,Ƿ,2,199 183,01BF,447,ƿ,2,198 191,-56,1 8
01F8,504,Ǹ,2,199 184,01F9,505,ǹ,2,199 185,1,0 1
01FA,506,Ǻ,2,199 186,01FB,507,ǻ,2,199 187,1,0 1
01FC,508,Ǽ,2,199 188,01FD,509,ǽ,2,199 189,1,0 1
01FE,510,Ǿ,2,199 190,01FF,511,ǿ,2,199 191,1,0 1
0200,512,Ȁ,2,200 128,0201,513,ȁ,2,200 129,1,0 1
0202,514,Ȃ,2,200 130,0203,515,ȃ,2,200 131,1,0 1
0204,516,Ȅ,2,200 132,0205,517,ȅ,2,200 133,1,0 1
0206,518,Ȇ,2,200 134,0207,519,ȇ,2,200 135,1,0 1
0208,520,Ȉ,2,200 136,0209,521,ȉ,2,200 137,1,0 1
020A,522,Ȋ,2,200 138,020B,523,ȋ,2,200 139,1,0 1
020C,524,Ȍ,2,200 140,020D,525,ȍ,2,200 141,1,0 1
020E,526,Ȏ,2,200 142,020F,527,ȏ,2,200 143,1,0 1
0210,528,Ȑ,2,200 144,0211,529,ȑ,2,200 145,1,0 1
0212,530,Ȓ,2,200 146,0213,531,ȓ,2,200 147,1,0 1
0214,532,Ȕ,2,200 148,0215,533,ȕ,2,200 149,1,0 1
0216,534,Ȗ,2,200 150,0217,535,ȗ,2,200 151,1,0 1
0218,536,Ș,2,200 152,0219,537,ș,2,200 153,1,0 1
021A,538,Ț,2,200 154,021B,539,ț,2,200 155,1,0 1
021C,540,Ȝ,2,200 156,021D,541,ȝ,2,200 157,1,0 1
021E,542,Ȟ,2,200 158,021F,543,ȟ,2,200 159,1,0 1
0220,544,Ƞ,2,200 160,019E,414,ƞ,2,198 158,-130,14 62
0222,546,Ȣ,2,200 162,0223,547,ȣ,2,200 163,1,0 1
0224,548,Ȥ,2,200 164,0225,549,ȥ,2,200 165,1,0 1
0226,550,Ȧ,2,200 166,0227,551,ȧ,2,200 167,1,0 1
0228,552,Ȩ,2,200 168,0229,553,ȩ,2,200 169,1,0 1
022A,554,Ȫ,2,200 170,022B,555,ȫ,2,200 171,1,0 1
022C,556,Ȭ,2,200 172,022D,557,ȭ,2,200 173,1,0 1
022E,558,Ȯ,2,200 174,022F,559,ȯ,2,200 175,1,0 1
0230,560,Ȱ,2,200 176,0231,561,ȱ,2,200 177,1,0 1
0232,562,Ȳ,2,200 178,0233,563,ȳ,2,200 179,1,0 1
023A,570,Ⱥ,2,200 186,2C65,11365,ⱥ,3,226 177 165,10795,42 11 165
023B,571,Ȼ,2,200 187,023C,572,ȼ,2,200 188,1,0 7
023D,573,Ƚ,2,200 189,019A,410,ƚ,2,198 154,-163,14 39
023E,574,Ⱦ,2,200 190,2C66,11366,ⱦ,3,226 177 166,10792,42 15 166
0241,577,Ɂ,2,201 129,0242,578,ɂ,2,201 130,1,0 3
0243,579,Ƀ,2,201 131,0180,384,ƀ,2,198 128,-195,15 3
0244,580,Ʉ,2,201 132,0289,649,ʉ,2,202 137,69,3 13
0245,581,Ʌ,2,201 133,028C,652,ʌ,2,202 140,71,3 9
0246,582,Ɇ,2,201 134,0247,583,ɇ,2,201 135,1,0 1
0248,584,Ɉ,2,201 136,0249,585,ɉ,2,201 137,1,0 1
024A,586,Ɋ,2,201 138,024B,587,ɋ,2,201 139,1,0 1
024C,588,Ɍ,2,201 140,024D,589,ɍ,2,201 141,1,0 1
024E,590,Ɏ,2,201 142,024F,591,ɏ,2,201 143,1,0 1
0370,880,Ͱ,2,205 176,0371,881,ͱ,2,205 177,1,0 1
0372,882,Ͳ,2,205 178,0373,883,ͳ,2,205 179,1,0 1
0376,886,Ͷ,2,205 182,0377,887,ͷ,2,205 183,1,0 1
037F,895,Ϳ,2,205 191,03F3,1011,ϳ,2,207 179,116,2 12
0386,902,Ά,2,206 134,03AC,940,ά,2,206 172,38,0 42
0388,904,Έ,2,206 136,03AD,941,έ,2,206 173,37,0 37
0389,905,Ή,2,206 137,03AE,942,ή,2,206 174,37,0 39
038A,906,Ί,2,206 138,03AF,943,ί,2,206 175,37,0 37
038C,908,Ό,2,206 140,03CC,972,ό,2,207 140,64,1 0
038E,910,Ύ,2,206 142,03CD,973,ύ,2,207 141,63,1 3
038F,911,Ώ,2,206 143,03CE,974,ώ,2,207 142,63,1 1
0391,913,Α,2,206 145,03B1,945,α,2,206 177,32,0 32
0392,914,Β,2,206 146,03B2,946,β,2,206 178,32,0 32
0393,915,Γ,2,206 147,03B3,947,γ,2,206 179,32,0 32
0394,916,Δ,2,206 148,03B4,948,δ,2,206 180,32,0 32
0395,917,Ε,2,206 149,03B5,949,ε,2,206 181,32,0 32
0396,918,Ζ,2,206 150,03B6,950,ζ,2,206 182,32,0 32
0397,919,Η,2,206 151,03B7,951,η,2,206 183,32,0 32
0398,920,Θ,2,206 152,03B8,952,θ,2,206 184,32,0 32
0399,921,Ι,2,206 153,03B9,953,ι,2,206 185,32,0 32
039A,922,Κ,2,206 154,03BA,954,κ,2,206 186,32,0 32
039B,923,Λ,2,206 155,03BB,955,λ,2,206 187,32,0 32
039C,924,Μ,2,206 156,03BC,956,μ,2,206 188,32,0 32
039D,925,Ν,2,206 157,03BD,957,ν,2,206 189,32,0 32
039E,926,Ξ,2,206 158,03BE,958,ξ,2,206 190,32,0 32
039F,927,Ο,2,206 159,03BF,959,ο,2,206 191,32,0 32
03A0,928,Π,2,206 160,03C0,960,π,2,207 128,32,1 32
03A1,929,Ρ,2,206 161,03C1,961,ρ,2,207 129,32,1 32
03A3,931,Σ,2,206 163,03C3,963,σ,2,207 131,32,1 32
03A4,932,Τ,2,206 164,03C4,964,τ,2,207 132,32,1 32
